SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,13490,13490,13201.05,13412.75,13425,13108.93,157,2103104.72,13-Oct-2025,39,IN0020200104
SGBN28VIII,GB,13846,13975,13571,13614.66,13602,13559.86,226,3106714.44,13-Oct-2025,82,IN0020200286
SGBMAY29I,GB,13420,13500,13225.01,13450.27,13450.01,13220.06,735,9891509.08,13-Oct-2025,157,IN0020210053
SGBJUN29II,GB,13265.99,13597.42,13265.99,13465.78,13452,13199.99,437,5895084.36,13-Oct-2025,62,IN0020210061
SGBJU29III,GB,13539.21,13650,13305.55,13472.79,13465.05,13273.74,145,1956255.33,13-Oct-2025,51,IN0020210087
SGBSEP29VI,GB,13599.99,13999,13366.2,13453.85,13450.01,13342.66,678,9131063.95,13-Oct-2025,159,IN0020210145
SGBNV29VII,GB,13150,13700,13150,13501.73,13490,13304.99,757,10224231.50,13-Oct-2025,134,IN0020210178
SGBOCT25,GB,12690.13,12690.13,12451.01,12585,12585,12627,21,265199.13,13-Oct-2025,17,IN0020170059
SGBOCT25IV,GB,12997.48,12997.48,12500,12600.79,12505.56,12997.48,40,507646.00,13-Oct-2025,21,IN0020170067
SGBOCT25V,GB,12592,12592,12592,12592,12592,12889,1,12592.00,13-Oct-2025,1,IN0020170075
SGBNOV25,GB,13300,13300,13300,13300,13300,12950,14,186200.00,13-Oct-2025,6,IN0020170091
SGBDEC25,GB,13571.8,13571.8,13571.8,13571.8,13571.8,13640,3,40715.40,13-Oct-2025,1,IN0020170125
SGBNOV25IX,GB,12994.9,12994.9,12975,12975,12975,12994.9,2,25969.90,13-Oct-2025,2,IN0020170117
SGBDEC2512,GB,13000,13000,13000,13000,13000,12870,3,39000.00,13-Oct-2025,2,IN0020170141
SGBNOV258,GB,13125,13149,13000,13000,13000,12900,7,91274.00,13-Oct-2025,3,IN0020170109
SGBMAY26,GB,13400,14464.48,13400,13400,13400,13375,26,364707.05,13-Oct-2025,10,IN0020180033
SGBOCT26,GB,13313.31,13320,13313.31,13316.65,13313.31,13313.32,6,79886.55,13-Oct-2025,4,IN0020180249
SGBNOV26,GB,13200,13599.99,13000.03,13000.03,13000.03,13000.03,14,185751.31,13-Oct-2025,11,IN0020180314
SGBDEC26,GB,13500,14630,13500,14630,14630,13300,5,70060.00,13-Oct-2025,5,IN0020180389
SGBJAN26,GB,13500,13500,13500,13500,13500,13500,2,27000.00,13-Oct-2025,2,IN0020170166
SGBJUN27,GB,13450,13450,13201,13310.2,13310.2,13450,28,376020.20,13-Oct-2025,11,IN0020190073
SGBJUL27,GB,13450,13450,13164.54,13450,13450,13099,23,307779.06,13-Oct-2025,8,IN0020190081
SGBAUG27,GB,13399,13600,13399,13440,13440,13294.5,103,1383908.01,13-Oct-2025,37,IN0020190107
SGBSEP27,GB,13200.01,13499.98,12918.75,13380,13380,13025.01,77,1015282.20,13-Oct-2025,28,IN0020190115
SGBJAN27,GB,13500,13500,13500,13500,13500,13500,1,13500.00,13-Oct-2025,1,IN0020180462
SGBOCT27,GB,13275.13,13544.99,13250,13345,13400,13209.09,71,945850.17,13-Oct-2025,12,IN0020190370
SGBOCT27VI,GB,13184.75,13431,13184.75,13429.41,13431,13251,166,2224924.35,13-Oct-2025,13,IN0020190388
SGBDC27VII,GB,13400,13799.99,13350,13405,13405,13400,129,1734155.87,13-Oct-2025,36,IN0020190461
SGBAPR28I,GB,13266,13700,13266,13641,13650,13439.5,250,3401329.90,13-Oct-2025,94,IN0020200062
SGBMAY28,GB,13215.01,13487.96,13215.01,13439.65,13448,13209.9,312,4183895.40,13-Oct-2025,60,IN0020200088
SGBJUL28IV,GB,13333.3,13490,13310,13433.35,13449.99,13234.02,794,10657003.27,13-Oct-2025,106,IN0020200146
SGBFEB28IX,GB,12933.9,13550,12933.9,13550,13550,14371,24,317679.99,13-Oct-2025,11,IN0020190545
SGBAUG28V,GB,13270.01,13599,13264.67,13426.63,13449,13264.66,3396,45654075.27,13-Oct-2025,420,IN0020200161
SGBSEP28VI,GB,13205.55,13495,13205.55,13378,13480,13192.76,541,7237688.98,13-Oct-2025,103,IN0020200195
SGBOC28VII,GB,13263.57,13534.99,13263.57,13483.85,13480,13263.57,87,1172670.74,13-Oct-2025,28,IN0020200203
SGBJ28VIII,GB,13150.06,13440,13150.06,13440,13440,13000.1,56,740896.27,13-Oct-2025,12,IN0020190537
SGBMAR28X,GB,13415,13461.94,13251.01,13319.19,13350,13220,121,1617029.51,13-Oct-2025,36,IN0020190552
SGBJUL29IV,GB,13587,13587,13200.01,13472.03,13490,13199.24,363,4885437.60,13-Oct-2025,129,IN0020210111
SGBJAN29IX,GB,13231.01,13588.99,13231.01,13539.99,13540,13223.64,286,3857281.13,13-Oct-2025,61,IN0020200377
SGBAUG29V,GB,13405,13600.2,13405,13494.33,13500,13384.66,366,4941030.72,13-Oct-2025,79,IN0020210129
SGBD29VIII,GB,13697.9,13899,13650,13658.66,13650,13429.31,136,1874607.87,13-Oct-2025,53,IN0020210228
SGBJAN29X,GB,13301.01,13674.99,13301.01,13502.01,13502.01,13270.24,37,501107.80,13-Oct-2025,13,IN0020200385
SGBFEB29XI,GB,13399.99,13567.5,13350,13433.76,13450,13191.51,154,2067897.46,13-Oct-2025,40,IN0020200393
SGBMR29XII,GB,13266.01,13519,13266.01,13433.19,13415,13265.74,494,6639550.25,13-Oct-2025,130,IN0020200427
SGBJUN30,GB,13936,14290,13843.08,14153.57,14175,13982.9,200,2825687.83,13-Oct-2025,77,IN0020220045
SGBAUG30,GB,14399,14399,14011,14089.22,14100,14075.22,666,9412463.70,13-Oct-2025,157,IN0020220078
SGBDE30III,GB,14601.29,14601.29,14331,14384.99,14355,14314.99,244,3524354.49,13-Oct-2025,72,IN0020220110
SGBJAN30IX,GB,13799,13800,13500,13751.04,13750,13450.85,139,1909259.00,13-Oct-2025,48,IN0020210236
SGBMAR30X,GB,13603,13947.7,13603,13889.06,13890,13694.55,222,3056307.98,13-Oct-2025,60,IN0020210319
SGBJUN31I,GB,14586.2,14799,14586.2,14633.61,14600,14569.28,890,13049936.80,13-Oct-2025,179,IN0020230069
SGBSEP31II,GB,14900.15,15185,14607.99,14667.69,14671,14607.99,2532,37268222.78,13-Oct-2025,430,IN0020230093
SGBDE31III,GB,14636.2,15090,14500,14719.15,14688,14615.68,2638,39032098.54,13-Oct-2025,556,IN0020230168
SGBMAR31IV,GB,14547.95,14699.99,14193.13,14302.24,14293,14193.13,328,4699659.38,13-Oct-2025,95,IN0020220169
SGBFEB32IV,GB,15700.03,16005,15315.55,15734.43,15720,15317.11,4372,68494358.15,13-Oct-2025,1022,IN0020230184
20MICRONS,EQ,212.33,215,209.41,211.96,211.18,212.33,64596,13702920.76,13-Oct-2025,2273,INE144J01027
21STCENMGM,EQ,48.14,48.14,46.41,46.7,47.49,47.2,2788,131729.73,13-Oct-2025,101,INE253B01015
